Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
1,AI Engineer ,    Intel Technologies,5 - 8 yrs,,Bengaluru / Bangalore,"AI Engineer Job DescriptionIntel Emergent AI Research Lab is creating the next generation of AI systems ,  pushing the boundaries of research and technology to produce a posit","c    ,  software engineering  ,  image processing  ,  machine learning  ,  computer graphics  ,  written communication  ,  infrastructure"
2,AI Engineer ,    Bloom Consulting Services,2 - 5 yrs,,Bengaluru / Bangalore,Desired Candidate Profile: BE/B.Tech:  ( 2-6 years industry experience )  Mtech (  AI / CS )   ( 2- 4 Years Industry experience )  2  years Machine Learning experience 2  year,"image processing  ,  python  ,  machine learning  ,  django"
3,AI Engineer ,    innovation incubator advisory,0 - 3 yrs,,Thiruvananthapuram,Develop custom data models and algorithms to apply to data sets.Strong problem solving skills with an emphasis on product development.Experience using statistical computer lan,"algorithms  ,  python  ,  problem solving  ,  sql"
4,AI Engineer ,    Analytics Vidhya,3 - 6 yrs,,"Thiruvananthapuram,  Bengaluru / Bangalore",AI Engineer- Trivendrum / Bangalore  ( 2 to 10 years of experience ) AI Engineer- Trivendrum / Bangalore  ( 2 to 10 years of experience )  A Client of Analytics VidhyaBengalur,"c    ,  artificial intelligence  ,  apex  ,  java  ,  api  ,  big data  ,  image processing  ,  python  ,  nosql  ,  scala  ,  sql  ,  elastic search  ,  database  ,  hadoop  ,  c  ,  natural language processing  ,  microsoft azure  ,  problem solving  ,  machine learning  ,  written communication  ,  infrastructure  ,  hdfs"
5,AI Engineer ,    ikomet Technology Solutions Pvt. Ltd.,0 - 3 yrs,,Chennai,"AI EngineerWork Location: ChennaiRequired Experience: 3 - 5Job Description:Understand the business problem ,  challenge of existing technologies and areas of application for A","algorithms  ,  python  ,  os  ,  machine learning  ,  infrastructure  ,  linux  ,  opencv"
6,AI Engineer ,    happymonk technology pvt. ltd.,5 - 8 yrs,,Bengaluru / Bangalore,The objective of this role Manage and direct research and development  ( R & D )  and processes to meet the needs of our AI strategyUnderstand company and client challenges an,"algorithms  ,  rest api  ,  data mining  ,  sql  ,  security  ,  java  ,  big data  ,  pattern recognition  ,  python  ,  c  ,  rdbms  ,  sas  ,  machine learning"
7,      Senior Principal AI Engineer ,    Intel Technology India Pvt Ltd,15 - 18 yrs,,Bengaluru / Bangalore,Senior Principal AI Engineer Job DescriptionPrincipal Engineers at the senior level at Intel that are active technical leaders inside and outside the company. Activities inclu,"Deep technical  ,  Principal AI Engineer  ,  Data Analysis"
8,      Lead AI Engineer ,    TARGET,3 - 6 yrs,,Bengaluru / Bangalore,Join Targets Artificial Intelligence team to shape the future of retail. The AI search team builds the core relevance engine and products that power Targets digital experience,"algorithms  ,  hql  ,  artificial intelligence  ,  sql  ,  java  ,  python  ,  information retrieval  ,  mobile  ,  machine learning"
9,"AI Engineer Bangalore ,  KA ",    Intel Technology India Pvt Ltd,5 - 8 yrs,,Bengaluru / Bangalore,"Job ID: JR0209962AI Engineer Job DescriptionIntel Emergent AI Research Lab is creating the next generation of AI systems ,  pushing the boundaries of research and technology t","c    ,  software engineering  ,  image processing  ,  machine learning  ,  computer graphics  ,  written communication  ,  infrastructure"
10,      Electrical Engineer ,    Charan Solutions,1 - 6 yrs,,"Chennai,  Hyderabad/Secunderabad","Very Urgent RequirementDesigns electrical systems by developing and testing components.Electrical Engineer Job Duties:Evaluates electrical systems ,  products ,  components , ","

Engineer
 

"
